station_id,name,lat,lon,altitude,address,post_code,capacity
78,PL. UNIVERSITAT /  ARIBAU,41.3856474,2.1634306,21.0,PL. UNIVERSITAT /  ARIBAU,8011,27
79,PL.  UNIVERSITAT,41.385503,2.1634768,21.0,PL. UNIVERSITAT,8007,24
80,"C/ ENRIC  GRANADOS, 35",41.389668,2.1599078,31.0,"C/ ENRIC  GRANADOS, 35",8007,21
81,"C/ VILAMARÍ,  61",41.3790718,2.1490553,24.0,"C/ VILAMARÍ,  61",8015,21
82,"C/ CALÀBRIA, 112",41.38031805998654,2.1544371248113956,20.0,"C/ CALÀBRIA, 112",8015,40
83,"C/ CALABRIA, 158",41.3821658,2.1520645,25.0,"C/ CALABRIA, 158",8015,23
84,Westfield Glòries- C/ DEL COMTE D'URGELL 75 B,41.3830299,2.1571646,20.0,"Westfield Glòries - C/ DEL COMTE D'URGELL, 75 B",8011,27
85,"AV. PARAL·LEL, 146 BIS",41.3751852,2.1592394,15.0,"AV. PARAL·LEL, 146 BIS",8015,40
86,"C/ VILADOMAT,  2",41.3755747,2.1629349,12.0,"C/ VILADOMAT,  2",8015,27
87,"C/ ROCAFORT, 187",41.38322238887374,2.1479931916296557,29.0,"C/ ROCAFORT, 187",8029,25
88,"C/ LONDRES, 101-103",41.3936144,2.1507739,45.0,"C/ LONDRES, 101-103",8036,20
89,"C/ ROSSELLÓ,  101",41.3879131,2.150342,36.0,"C/ ROSSELLÓ,  101",8036,27
90,"C/ ROSSELLÓ, 108-110",41.388296,2.150878,36.0,"C/ ROSSELLÓ, 108-110",8036,17
91,"C/ COMTE D'URGELL, 43",41.3812504,2.1594741,16.0,"C/ COMTE D'URGELL, 43",8011,35
92,"C / PROVENÇA, 241",41.3938861,2.1601641,37.0,"C / PROVENÇA, 241",8008,18
94,"GRAN VIA DE LES CORTS CATALANES,375",41.3757914,2.1499102,26.0,"GRAN  VIA DE LES CORTS CATALANES, 375-385",8015,48
95,"C/ TARRAGONA, 103-115",41.3763948,2.1473272,28.0,"C/ TARRAGONA, 103-115",8014,33
96,"GRAN VIA DE LES CORTS CATALANES,  368",41.3741093,2.1481993,24.0,"GRAN VIA DE LES CORTS CATALANES, 368",8010,21
97,"C/ TARRAGONA, 141",41.3779613,2.1450491,29.0,"C/ TARRAGONA, 141",8014,21
98,"C/ VIRIAT, 43",41.3806074,2.1408633,31.0,"C/ VIRIAT, 43",8014,20
99,"C/ VIRIAT,  53",41.3808222,2.141539,30.0,"C/ VIRIAT,  53",8014,21
100,"C/ TARRAGONA,  159-173",41.379363,2.143868,29.0,"C/ TARRAGONA,  159-173",8014,22
101,"AV. DIAGONAL,  602",41.392878,2.143411,53.0,"AV. DIAGONAL, 602",8021,24
102,"AV. DIAGONAL,  612",41.392567,2.1422174,54.0,"AV. DIAGONAL,  612",8021,24
103,"C/ ARAGÓ, 629",41.410098,2.1884487,16.0,"C/ ARAGÓ, 629",8026,21
104,"C/ VALÈNCIA,  621",41.4108005,2.1872438,16.0,"C/ VALÈNCIA, 621",8026,26
105,"RDA. DE SANT PERE, 26",41.389492,2.17425,15.0,"RDA. DE SANT PERE, 26",8010,21
106,"PL  JOANIC - C / BRUNIQUER, 59",41.4055198,2.1622548,56.0,"PL  JOANIC - C / BRUNIQUER, 59",8024,19
107,"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",41.3982304,2.1531031,56.0,"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",8006,20
108,"C / INDÚSTRIA, 10",41.4022081,2.1649035,45.0,"C / INDÚSTRIA, 10",8037,21
109,"C/ LONDRES,  53",41.3912605,2.1476308,43.0,"C/ LONDRES,  53",8036,24
110,"AV. ROMA,  136",41.3852585,2.155089,25.0,"AV. ROMA,  136",8011,21
111,C/ ARAGÓN 147,41.3847528,2.1546746,21.0,C/ ARAGÓN 147,8015,19
112,"C/ FLORIDABLANCA,  49",41.3776721,2.157233,13.0,"C/ FLORIDABLANCA, 49",8015,20
113,"RONDA DE SANT PAU , 51",41.3773113,2.1646742,11.0,"RONDA DE SANT PAU, 51",8015,33
114,"PL. JEAN GENET,  1",41.376735,2.1740082,5.0,"PL. JEAN GENET,  1",8001,20
115,"AV. MARQUÉS DE L'ARGENTERA,  3",41.383597,2.184171,4.0,"AV. MARQUÉS DE L'ARGENTERA,  3",8003,21
116,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT",41.3838369,2.1914756,5.0,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT PAPASSEIT",8003,27
117,"C/ ROSA SENSAT, 12",41.3906051,2.1972309,5.0,"C/ ROSA SENSAT, 12",8005,21
118,"C/ PUJADES,  3",41.39212,2.1874966,6.0,"C/ PUJADES,  3",8018,27
119,"C/ SARDENYA,  178",41.3967169,2.1825085,12.0,"C/ SARDENYA,  178",8013,38
120,"C/ LEPANT,  278",41.4047056,2.1765126,28.0,"C/ LEPANT,  278",8013,21
121,"C/ CASTILLEJOS, 258",41.4064529,2.1785364,28.0,"C/ CASTILLEJOS, 258",8013,21
122,"C/ NÀPOLS, 344",41.4054458,2.1663172,54.0,"C/ NÀPOLS, 344",8025,33
123,"C/ PROVENÇA, 317",41.3988184485363,2.166735224916682,34.0,"C/ PROVENÇA, 317",8037,21
124,C/ NOVA  BOCANA,41.3702483,2.1878126,3.0,C/ NOVA  BOCANA,8039,31
125,"PG. MARíTIM, 31 B (ANNEXA A LA  12)",41.3834753,2.194735,7.0,"PG. MARíTIM, 31 B (ANNEXA A LA  12)",8003,21
126,PG. DE COLOM /VIA LAIETANA,41.380628,2.1822815,4.0,PG. DE COLOM /VIA LAIETANA,8002,23
127,"C/ ARAGÓ, 659 / NAVAS DE TOLOSA",41.4120681,2.1907524,16.0,"C/ ARAGÓ, 659 /NAVAS DE TOLOSA",8026,27
